productName,productSlug,productDescription,productAssets,productFeaturedAsset,productFacetValues,productOptions,RAL
HE3081R-G20-003,HE3081R-G20-003, 红色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,3011
HE3081X-G20-003,HE3081X-G20-003, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3081X-G20-005,HE3081X-G20-005, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3081X-G20-012,HE3081X-G20-012, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3085B-G25-006,HE3085B-G25-006, 蓝色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,5010
HE3085G-G25-001,HE3085G-G25-001, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE3085G-G25-006,HE3085G-G25-006, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE3086A-G20-002,HE3086A-G20-002, 灰色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,7024
HE3086G-G20-002,HE3086G-G20-002, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE3086H-G20-002,HE3086H-G20-002, 白色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9003
HE3086L-G20-001,HE3086L-G20-001, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3086L-G20-006,HE3086L-G20-006, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3086L-G20-007,HE3086L-G20-007, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3086L-G20-008,HE3086L-G20-008, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3086R-G20-001,HE3086R-G20-001, 红色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,3011
HE3086X-G20-004,HE3086X-G20-004, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3086X-G20-005,HE3086X-G20-005, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3086X-G20-010,HE3086X-G20-010, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE3086X-G20-011,HE3086X-G20-011, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE4089G-G23-005,HE4089G-G23-005, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE4089G-G23-009,HE4089G-G23-009, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE4089G-G23-010,HE4089G-G23-010, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE4089G-G23-012,HE4089G-G23-012, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE4089T-G23-001,HE4089T-G23-001, 透明亮光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,7035
